id;year;country;event;artist;title;points_total;rank
376;1980;I;3;Alan Sorrenti;Non so che darei;87;6
377;1980;DK;3;Bamses Venner;Tænker altid på dig;25;14
378;1980;S;3;Tomas Ledin;Just nu;47;10
379;1980;CH;3;Paola;Cinéma;104;4
380;1980;SF;3;Vesa-Matti Loiri;Huilumies;6;19
381;1980;N;3;Sverre Kjelsberg & Mattis Hætta;Sámiid Ædnan;15;16
382;1980;D;3;Katja Ebstein;Theater;128;2
383;1980;UK;3;Prima Donna;Love Enough For Two;106;3
384;1980;POR;3;José Cid;Um grande, grande amor;71;7
385;1980;NL;3;Maggie MacNeal;Amsterdam;93;5
386;1980;F;3;Profil;Hé, hé, M'sieurs Dames;45;11
387;1980;IRL;3;Johnny Logan;What's Another Year;143;1
388;1980;E;3;Trigo Limpio;Quedate esta noche;38;12
389;1980;B;3;Telex;Euro-Vision;14;17
390;1981;AUT;3;Marty Brem;Wenn du da bist;20;17
391;1981;TR;3;Modern Folk Trio & Aysegül;Dönme dolap;9;18
392;1981;D;3;Lena Valaitis;Johnny Blue;132;2
393;1981;LUX;3;Jean Claude Pascal;C'est peut-être pas l'Amérique;41;11
394;1981;ISR;3;Habibi;Layla;56;7
395;1981;DK;3;Tommy Seebach & Debbie Cameron;KrØller eller ej;41;11
396;1981;YUG;3;Seid Memic-Vajta;Leyla;35;15
397;1981;SF;3;Riki Sorsa;Reggae O.K.;27;16
398;1981;F;3;Jean Gabilou;Humanahum;125;3
399;1981;E;3;Bacchelli;Y sólo tú;38;14
400;1981;NL;3;Linda Williams;Het is een wonder;51;9
401;1981;IRL;3;Sheeba;Horoscopes;105;5
402;1981;N;3;Finn Kalvik;Aldri i livet;0;20
403;1981;UK;3;Bucks Fizz;Making Your Mind Up;136;1
404;1981;POR;3;Carlos Paião;Playback;9;18
405;1981;B;3;Emly Starr;Samson;40;13
406;1981;GR;3;Yiannis Dimitras;Feggari kalokerino;55;8
407;1981;ZYP;3;Island;Monica;69;6
408;1981;CH;3;Peter, Sue & Marc;Io senza te;121;4
409;1981;S;3;Björn Skifs;Fångad i en dröm;50;10
410;1982;POR;3;Doce;Bem Bom;32;13
411;1982;LUX;3;Svetlana;Cours après le temps;78;6
412;1982;N;3;Jahn Teigen & Anita Skorgan;Adieu;40;12
413;1982;UK;3;Bardo;One Step Further;76;7
414;1982;TR;3;Neco;Hani;20;15
415;1982;SF;3;Kojo;Nuku pommiin;0;18
416;1982;CH;3;Arlette Zola;Amour on t'aime;97;3
417;1982;ZYP;3;Anna Vissi;Mono i agapi;85;5
418;1982;S;3;Chips;Dag efter dag;67;8
419;1982;AUT;3;Mess;Sonntag;57;9
420;1982;B;3;Stella;Si tu aimes ma musique;96;4
421;1982;E;3;Lucia;El;52;10
422;1982;DK;3;Brixx;Video Video;5;17
423;1982;YUG;3;Aska;Halo Halo;21;14
424;1982;ISR;3;Avi Toledano;Hora;100;2
425;1982;NL;3;Bill van Dijk;Jij en ik;8;16
426;1982;IRL;3;The Duskeys;Here Today, Gone Tomorrow;49;11
427;1982;D;3;Nicole;Ein bisschen Frieden;161;1
428;1983;F;3;Guy Bonnet;Vivre;56;8
429;1983;N;3;Jahn Teigen;Do Re Mi;53;9
430;1983;UK;3;Sweet Dreams;I'm Never Giving Up;79;6
431;1983;S;3;Carola;Främling;126;3
432;1983;I;3;Riccardo Fogli;Per Lucia;41;11
433;1983;TR;3;Cetin Alp & The Short Wave;Opera;0;19
434;1983;E;3;Remedios Amaya;Quien maneja mi barca?;0;19
435;1983;CH;3;Mariella Farré;Io cosi non ci sto;28;15
436;1983;SF;3;Ami Aspelund;Fantasiaa;41;11
437;1983;GR;3;Christie;Mou les;32;14
438;1983;NL;3;Bernadette;Sing Me A Song;66;7
439;1983;YUG;3;Daniel;Dzuli;125;4
440;1983;ZYP;3;Stavros & Constantina;I agapi akoma zi;26;16
441;1983;D;3;Hoffmann & Hoffmann;Rücksicht;94;5
442;1983;DK;3;Gry;Kloden drejer;16;17
443;1983;ISR;3;Ofra Haza;Hi;136;2
444;1983;POR;3;Armando Gama;Esta balada que te dou;33;13
445;1983;AUT;3;Westend;Hurricane;53;9
446;1983;B;3;Pas de Deux;Rendez-vous;13;18
447;1983;LUX;3;Corinne Hermès;Si la vie est cadeau;142;1
448;1984;S;3;Herreys;Diggi-Loo Diggy-Ley;145;1
449;1984;LUX;3;Sophie Carle;100 % d'amour;39;10
450;1984;F;3;Annick Thoumazeau;Autant d'amourex que d'étoiles;61;8
451;1984;E;3;Bravo;Lady, Lady;106;3
452;1984;N;3;Dollie de Luxe;Lenge leve livet;29;17
453;1984;UK;3;Belle & The Devotions;Love Games;63;7
454;1984;ZYP;3;Andy Paul;Anna Mari-Elena;31;15
455;1984;B;3;Jacques Zegers;Avanti la vie;70;5
456;1984;IRL;3;Linda Martin;Terminal 3;137;2
457;1984;DK;3;Hot Eyes;Det' lige det;101;4
458;1984;NL;3;Maribelle;Ik hou van jou;34;13
459;1984;YUG;3;Vlado & Izolda;Ciao amore;26;18
460;1984;AUT;3;Anita;Einfach weg;5;19
461;1984;D;3;Mary Roos;Aufrecht geh'n;34;13
462;1984;TR;3;Bes Yil Önce On Yil Sonra;Halay;37;12
463;1984;SF;3;Kirka;Hengaillaan;46;9
464;1984;CH;3;Rainy Day;Welche Farbe hat der Sonnenschein;30;16
465;1984;I;3;Alice & Franco Battiato;I treni di Tozeur;70;5
466;1984;POR;3;Maria Guinot;Silêncio e tanta gente;38;11
467;1985;IRL;3;Maria Christian;Wait Until The Weekend Comes;91;6
468;1985;SF;3;Sonja Lumme;Eläköön elämä;58;9
469;1985;ZYP;3;Lia Vissi;To katalava arga;15;16
470;1985;DK;3;Hot Eyes;Sku' du spørg' fra no'en;41;11
471;1985;E;3;Paloma San Basilio;La fiesta terminó;36;14
472;1985;F;3;Roger Bens;Femme dans ses rêves aussi;56;10
473;1985;TR;3;MFÖ;Didai didai dai asik oldum;36;14
474;1985;B;3;Linda Lepomme;Laat me nu gaan;7;19
475;1985;POR;3;Adelaide;Penso em ti, eu sei;9;18
476;1985;D;3;Wind;Für alle;105;2
477;1985;ISR;3;Izhar Cohen;Olé, Olé;93;5
478;1985;I;3;Al Bano & Romina Power;Magic, Oh Magic;78;7
479;1985;N;3;Bobbysocks;La det swinge;123;1
480;1985;UK;3;Vikki;Love Is ...;100;4
481;1985;CH;3;Mariella Farré & Pino Gasparini;Piano, Piano;39;12
482;1985;S;3;Kikki Danielsson;Bra vibrationer;103;3
483;1985;AUT;3;Gary Lux;Kinder dieser Welt;60;8
484;1985;LUX;3;Ireen Sheer, Chris Roberts, Margo ...;Children, Kinder, Enfants;37;13
485;1985;GR;3;Takis Biniaris;Miazoume;15;16
486;1986;LUX;3;Sherisse Laurence;L'amour de ma vie;117;3
487;1986;YUG;3;Doris;Zeljo moja;49;11
488;1986;F;3;Cocktail Chic;Européennes;13;17
489;1986;N;3;Ketil Stokkan;Romeo;44;12
490;1986;UK;3;Ryder;Runner In The Night;72;7
491;1986;ISL;3;Icy;Gledibankinn;19;16
492;1986;NL;3;Frizzle Sizzle;Alles heeft ritme;40;13
493;1986;TR;3;Klips & Onlar;Halley;53;9
494;1986;E;3;Cadillac;Valentino;51;10
495;1986;CH;3;Daniela Simons;Pas pour moi;140;2
496;1986;ISR;3;Moti Giladi & Sarai Tzuriel;Yavoh yom;7;19
497;1986;IRL;3;Luv Bug;You Can Count On Me;96;4
498;1986;B;3;Sandra Kim;J'aime la vie;176;1
499;1986;D;3;Ingrid Peters;Über die Brücke geh'n;62;8
500;1986;ZYP;3;Elpida;Tora zo;4;20
501;1986;AUT;3;Timna Brauer;Die Zeit ist einsam;12;18
502;1986;S;3;Lasse Holm & M.Törnell;E' de' det här du kallar kärlek?;78;5
503;1986;DK;3;Trax;Du er fuld af løgn;77;6
504;1986;SF;3;Kari Kuivalainen;Päivä kahden ihmisen;22;15
505;1986;POR;3;Dora;Não sejas mau p'ra mim;28;14
506;1987;N;3;Kate;Mitt liv;65;9
507;1987;ISR;3;Lazy Bums (Datner & Kushnir);Shir habatlanim;73;8
508;1987;AUT;3;Gary Lux;Nur noch Gefühl;8;20
509;1987;ISL;3;Halla Margret;Hægt og hlj;28;16
510;1987;B;3;Liliane Saint-Pierre;Soldiers Of Love;56;11
511;1987;S;3;Lotta Engberg;Boogaloo;50;12
512;1987;I;3;Umberto Tozzi & Raf;Gente di mare;103;3
513;1987;POR;3;Nevada;Neste barco à vela;15;18
514;1987;E;3;Patricia Kraus;No estas solo;10;19
515;1987;TR;3;Seyyal Taner & Grup Locomotif;Sarkim sevgi üstüne;0;22
516;1987;GR;3;Bang!;Stop;64;10
517;1987;NL;3;Marcha;Rechtop in de wind;83;5
518;1987;LUX;3;Plastic Bertrand;Amour, amour;4;21
519;1987;UK;3;Rikki;Only The Light;47;13
520;1987;F;3;Christine Minier;Les mots d'amour n'ont pas de dimanche;44;14
521;1987;D;3;Wind;Lass' die Sonne in dein Herz;141;2
522;1987;ZYP;3;Alexia;Spro-mavro;80;7
523;1987;SF;3;Vicky Rosti;Sata salamaa;32;15
524;1987;DK;3;Anne Cathrine Herdorf & Bandjo;En lille melodie;83;5
525;1987;IRL;3;Johnny Logan;Hold Me Now;172;1
526;1987;YUG;3;Novi Fosili;Ja sam za ples;92;4
527;1987;CH;3;Carol Rich;Moitié-moitié;26;17
528;1988;ISL;3;Beathoven;Sokrates;20;16
529;1988;S;3;Tommy Körberg;Stad i ljus;52;12
530;1988;SF;3;Boulevard;Nauravat silmät muistetaan;3;20
531;1988;UK;3;Scott Fitzgerald;Go;136;2
532;1988;TR;3;MFÖ;Sufi;37;15
533;1988;E;3;La Decada Prodigiosa;Made in Spain (La chica que yo quiero);58;11
534;1988;NL;3;Gerard Joling;Shangri-La;70;9
535;1988;ISR;3;Yardena Arazi;Ben Adam;85;7
536;1988;CH;3;Céline Dion;Ne partez pas sans moi;137;1
537;1988;IRL;3;Jump The Gun;Take Him Home;79;8
538;1988;D;3;Maxi & Chris Garden;Lied für einen Freund;48;14
539;1988;AUT;3;Wilfried;Lisa, Mona Lisa;0;21
540;1988;DK;3;Hot Eyes;Ka' du se hva' jeg sa' ?;92;3
541;1988;GR;3;Fryda Afroditi;Kloun;10;17
542;1988;N;3;Karoline Krüger;For vår jord;88;5
543;1988;B;3;Reynaert;Laissez briller le soleil;5;18
544;1988;LUX;3;Lara Fabian;Croire;90;4
545;1988;I;3;Luca Barbarossa;Ti scrivo;52;12
546;1988;F;3;Gérard Lenorman;Chanteur de charme;64;10
547;1988;POR;3;Dora;Voltarei;5;18
548;1988;YUG;3;Srebrna Krila (Silver Wings);Mangup;87;6
549;1989;I;3;Anna Oxa & Fausto Leali;Avrei voluto;56;9
550;1989;ISR;3;Gili & Galit;Derech ha'melech;50;12
551;1989;IRL;3;Kiev Connolly & The Missing Passengers;The Real Me;21;18
552;1989;NL;3;Justine Pelmelay;Blijf zoals je bent;45;15
553;1989;TR;3;Pan;Bana Bana;5;21
554;1989;B;3;Ingeborg;Door de wind;13;19
555;1989;UK;3;Live Report;Why Do I Always Get It Wrong?;130;2
556;1989;N;3;Britt Synnøve;Venners nærhet;30;17
557;1989;POR;3;Da Vinci;Conquistado;39;16
558;1989;S;3;Tommy Nilsson;En dag;110;4
559;1989;LUX;3;Park Café;Monsieur;8;20
560;1989;DK;3;Birthe Kjær;Vi maler byen rød;111;3
561;1989;AUT;3;Thomas Forstner;Nur ein Lied;97;5
562;1989;SF;3;Anneli Saaristo;La dolce vita;76;7
563;1989;F;3;Nathalie Pâque;J'ai volé la vie;60;8
564;1989;E;3;Nina;Nacida para amar;88;6
565;1989;ZYP;3;Yiannis Savvidakis & Fani Polymeri;Apopse as vrethoume;51;11
566;1989;CH;3;Furbaz;Viver senza tei;47;13
567;1989;GR;3;Mariana Efstratiou;To diko sou asteri;56;9
568;1989;ISL;3;Daniel;Pad sem enginn sér;0;22
569;1989;D;3;Nino de Angelo;Flieger;46;14
570;1989;YUG;3;Riva;Rock Me;137;1
571;1990;E;3;Azúcar Moreno;Bandido;96;5
572;1990;GR;3;Christos Callow;Horis skopo;11;19
573;1990;B;3;Philippe Lafontaine;Macédomienne;46;12
574;1990;TR;3;Kayahan;Gözlerinin hapsindeyim;21;17
575;1990;NL;3;Maywood;Ik will alles met je deln;25;15
576;1990;LUX;3;Céline Carzo;Quand je te rêve;38;13
577;1990;UK;3;Emma;Give A Little Love Back To The World;87;6
578;1990;ISL;3;Stjórnin;Eitt lag enn;124;4
579;1990;N;3;Ketil Stokkan;Brandenburger Tor;8;21
580;1990;ISR;3;Rita;Shara barchovot;16;18
581;1990;DK;3;Lonnie Devantier;Hallo-Hallo;64;8
582;1990;CH;3;Egon Egemann;Musik klingt in die Welt hinaus;51;11
583;1990;D;3;Chris Kempers & Daniel Kovac;Frei zu leben;60;9
584;1990;F;3;Joëlle Ursull;White & Black Blues;132;2
585;1990;YUG;3;Tajci;Hajde da ludujemo;81;7
586;1990;POR;3;Nucha;Há sempre alguém;9;20
587;1990;IRL;3;Liam Reilly;Somewhere In Europe;132;2
588;1990;S;3;Edin Ådahl;Som en vind;24;16
589;1990;I;3;Toto Cutugno;Insieme 1992;149;1
590;1990;AUT;3;Simone;Keine Mauern mehr;58;10
591;1990;ZYP;3;Anastazio;Milas poli;36;14
592;1990;SF;3;Beat;Fri?;8;21
593;1991;YUG;3;Baby Doll;Brazil;1;21
594;1991;ISL;3;Stefan & Eyfi;Nina;26;15
595;1991;MAL;3;Georgina & Paul Giordimaina;Could It Be;106;6
596;1991;GR;3;Sofia Vossou;I anixi;36;13
597;1991;CH;3;Sandra Simó;Canzone per te;118;5
598;1991;AUT;3;Thomas Forstner;Venedig im Regen;0;22
599;1991;LUX;3;Sarah Bray;Un baiser volé;29;14
600;1991;S;3;Carola;"F&aring;ngad av en stormvind";146;1
601;1991;F;3;Amina;Le dernier qui a parlé...;146;2
602;1991;TR;3;Izel Celiköz, Can Ugurluer, Reyhan Karaça;Iki dakika;44;12
603;1991;IRL;3;Kim Jackson;Could It Be That I'm In Love?;47;10
604;1991;POR;3;Dulce;Lusitana Paixão;62;8
605;1991;DK;3;Anders Frandsen;Lige der hvor hjertet står;8;19
606;1991;N;3;Just 4 Fun;Mrs. Thompson;14;17
607;1991;ISR;3;Duo Datz;Kan;139;3
608;1991;SF;3;Kaija;Hullu yö;6;20
609;1991;D;3;Atlantis 2000;Dieser Traum darf niemals sterben;10;18
610;1991;B;3;Clousseau;Geef het op;23;16
611;1991;E;3;Sergio Dalma;Bailar pegados;119;4
612;1991;UK;3;Samantha Janus;A Message To Your Heart;47;10
613;1991;ZYP;3;Elena Patroklou;S.O.S.;60;9
614;1991;I;3;Peppino di Capri;Comme è ddoce 'o mare;89;7
615;1992;E;3;Serafin;Todo esto es la música;37;14
616;1992;B;3;Morgane;Nous, on veut des violons;11;20
617;1992;ISR;3;Dafna;Ze rak sport;85;6
618;1992;TR;3;Aylin Vatankos;Yaz bitti;17;19
619;1992;GR;3;Cleopatra;Olou tou kosmou i elpida;94;5
620;1992;F;3;Kali;Monté la riviè;73;8
621;1992;S;3;Christer Björkman;I morgon är en annan dag;9;22
622;1992;POR;3;Dina;Amor d'água fresca;26;17
623;1992;ZYP;3;Evridiki;Teriazoume;57;11
624;1992;MAL;3;Mary Spiteri;Little Child;123;3
625;1992;ISL;3;Heart 2 Heart;Nei eda já;80;7
626;1992;SF;3;Pave;Yamma-Yamma;4;23
627;1992;CH;3;Daisy Auvray;Mister Music Man;32;15
628;1992;LUX;3;Marion Welter;Sou fräi;10;21
629;1992;AUT;3;Tony Wegas;Zusammen geh'n;63;10
630;1992;UK;3;Michael Ball;One Step Out Of Time;139;2
631;1992;IRL;3;Linda Martin;Why Me?;155;1
632;1992;DK;3;Kenny & Lotte;Alt det som ingen ser;47;12
633;1992;I;3;Mia Martini;Rapsodia;111;4
634;1992;YUG;3;Extra Nena;Ljubim te pesmama;44;13
635;1992;N;3;Merethe TrØan;Visjoner;23;18
636;1992;D;3;Wind;Träume sind für alle da;27;16
637;1992;NL;3;Humphrey Campbell;Wijs me de weg;67;9
638;1993;I;3;Enrico Ruggeri;Sole d'Europa;45;12
639;1993;TR;3;Burak Aydos;Esmer yarim;10;21
640;1993;D;3;Münchener Freiheit;Viel zu weit;18;18
641;1993;CH;3;Annie Cotton;Moi, tout simplement;148;3
642;1993;DK;3;Tommy Seebach Band;Under stjernerne på himlen;9;22
643;1993;GR;3;Keti Garbi;Ellada, chora tou fotos;64;9
644;1993;B;3;Barbara;Iemand als jij;3;25
645;1993;MAL;3;William Mangion;This Time;69;8
646;1993;ISL;3;Inga;Pá veistu svarid;42;13
647;1993;AUT;3;Tony Wegas;Maria Magdalena;32;14
648;1993;POR;3;Anabela;A cidade até ser dia;60;10
649;1993;F;3;Patrick Fiori;Mama Corsica;121;4
650;1993;S;3;Arvingarna;Eloise;89;7
651;1993;IRL;3;Niamh Kavanagh;In Your Eyes;187;1
652;1993;LUX;3;Modern Times;Donne-moi une chance;11;20
653;1993;SLO;3;1 x Band;Tih deževen dan;9;22
654;1993;SF;3;Katri Helena;Tule luo;20;17
655;1993;BIH;3;Fazla;Sva bol svijeta;27;16
656;1993;UK;3;Sonia;Better The Devil You Know;164;2
657;1993;NL;3;Ruth Jacott;Vrede;92;6
658;1993;CRO;3;Put;Don't Ever Cry;31;15
659;1993;E;3;Eva Santamaria;Hombres;58;11
660;1993;ZYP;3;Zymboulakis & Van Beke;Mi stamatas;17;19
661;1993;ISR;3;Lahakat Shiru;Shiru;4;24
662;1993;N;3;Silje Vige;Alle mine tankar;120;5
663;1994;S;3;Marie Bergman & Roger Pontare;Stjärnorna;48;13
664;1994;SF;3;CatCat;Bye Bye Baby;11;22
665;1994;IRL;3;Paul Harrington & C. McGettigan;Rock'N'Roll Kids;226;1
666;1994;ZYP;3;Evridiki;Eimai anthropos ki ego;51;11
667;1994;ISL;3;Sigga;Nætur;49;12
668;1994;UK;3;Frances Ruffelle;We Will Be Free (Lonely Symphony);63;10
669;1994;CRO;3;Toni Cetinski;Nek, ti bude ljubav sva;27;16
670;1994;POR;3;Sara Tavares;Chamar a música;73;8
671;1994;CH;3;Duilio;Sto pregando;15;19
672;1994;EST;3;Silvi Vrait;Nagu merelaine2;2;24
673;1994;ROM;3;Dan Bittman;Dincolo de nori;14;21
674;1994;MAL;3;Chris & Moira;More Than Love;97;5
675;1994;NL;3;Willeke Alberti;Waar is de zon;4;23
676;1994;D;3;Mekado;Wir geben 'ne Party;128;3
677;1994;SLK;3;Martin Durinda & Tublatanka;Nekonecna piesen;15;19
678;1994;LIT;3;Ovidijus Vyšniauskas;Lopišine mylimai;0;25
679;1994;N;3;Elisabeth Andreassen & Jan Werner Danielsen;Duett;76;6
680;1994;BIH;3;Alma & Dejan;Ostani kraj mene;39;15
681;1994;GR;3;Costas Bigalis & The Sea Lovers;To trehantiri (Diri-Diri);44;14
682;1994;AUT;3;Petra Frey;Für den Frieden der Welt;19;17
683;1994;E;3;Alejandro Abad;Ella no es ella;17;18
684;1994;H;3;Friderika;Kinek mondjam el vétkeimet;122;4
685;1994;RUS;3;Youddiph;Vechni stranik;70;9
686;1994;PL;3;Edyta Gorniak;To nie ja;166;2
687;1994;F;3;Nina Morato;Je suis un vrai garçon;74;7
688;1995;PL;3;Justyna Steczkowska;Sama;15;18
689;1995;IRL;3;Eddie Friel;Dreamin';44;14
690;1995;D;3;Stone & Stone;Verliebt in dich;1;23
691;1995;BIH;3;Davor;Dvadeset prvi vijek;14;19
692;1995;N;3;Secret Garden;Nocturne;148;1
693;1995;RUS;3;Phillipe Kirkorow;Kobelnaya dlya vulkana;17;17
694;1995;ISL;3;Bo Halldorsson;Núna;31;15
695;1995;AUT;3;Stella Jones;Die Welt dreht sich verkehrt;67;13
696;1995;E;3;Anabel Conde;Vuelve conmigo;119;2
697;1995;TR;3;Arzu Ece;Sev;21;16
698;1995;CRO;3;Magazin & Lidija;Nostalgija;91;6
699;1995;F;3;Nathalie Santamaria;Il me donne rendez-vous;94;4
700;1995;H;3;Csaba Szigeti;Új név a régi ház falán;3;22
701;1995;B;3;Etherlinck;La voix est libre;8;20
702;1995;UK;3;Love City Groove;Love City Groove;76;10
703;1995;POR;3;Tó Cruz;Baunilha e chocolate;5;21
704;1995;ZYP;3;Alexandros Panayi;Sti fotia;79;9
705;1995;S;3;Jan Johansen;Se på mig;100;3
706;1995;DK;3;Aud Wilken;Frau Mols til Skagen;92;5
707;1995;SLO;3;Darja Svajger;Prisluhni mi;84;7
708;1995;ISR;3;Liora;Amen;81;8
709;1995;MAL;3;Mike Spiteri;Keep Me In Mind;76;10
710;1995;GR;3;Elina Konstantopoulou;Pia prossefchi;68;12
711;1996;TR;3;Sebnem Paker;Besinci mavsim;57;12
712;1996;UK;3;Gina G.;Ooh Aah ... Just A Little Bit;77;8
713;1996;E;3;Antonio Carbonell;Ay, qué deseo!;17;20
714;1996;POR;3;Lúcia Moniz;O meu coração não tem cor;92;6
715;1996;ZYP;3;Constantinos;Mono yia mas;72;9
716;1996;MAL;3;Miriam Christine;In A Woman's Heart;68;10
717;1996;CRO;3;Maja Blagdan;Sveta ljubav;98;4
718;1996;AUT;3;George Nussbaumer;Weil's dir guat got;68;10
719;1996;CH;3;Kathy Leander;Mon coeur l'aime;22;16
720;1996;GR;3;Marianna Efstratiou;Emis forame to himona anixiatika;36;14
721;1996;EST;3;Marja-Liis Ilus & Ivo Linna;Kaelakee hääl;94;5
722;1996;N;3;Elisabeth Andreassen;I evighet;114;2
723;1996;F;3;Dan Ar Braz & L'Héritage des Celtes;Diwanit bugale;18;19
724;1996;SLO;3;Regina;Dan najlepsih sanj;16;21
725;1996;NL;3;Maxine & Franklin Brown;De eerste keer;78;7
726;1996;B;3;Lisa del Bo;Liefde is een kaartspel;22;16
727;1996;IRL;3;Eimear Quinn;The Voice;162;1
728;1996;SF;3;Jasmine;Niin kaunis on taivas;9;23
729;1996;ISL;3;Anna Mjöll;Sjúbidú;51;13
730;1996;PL;3;Kasia Kowalska;Chce znac swó grzech;31;15
731;1996;BIH;3;Amila;Za nasu ljubav;13;22
732;1996;SLK;3;Marcel Palonder;Kym nas mas;19;18
733;1996;S;3;One More Time;Den vilda;100;3
734;1997;ZYP;3;Hara & Andreas Konstantinou;Mana mou;98;5
735;1997;TR;3;Sebnem Paker;Dinle;121;3
736;1997;N;3;Tor Endresen;San Francsico;0;24
737;1997;AUT;3;Bettina Soriat;One Step;12;21
738;1997;IRL;3;Marc Roberts;Mysterious Woman;157;2
739;1997;SLO;3;Tanja Ribic;Zbudi se;60;10
740;1997;CH;3;Barbara Berta;Dentro di me;5;22
741;1997;NL;3;Mrs. Einstein;Niemand heeft nog tijd;5;22
742;1997;I;3;Jalisse;Fiumi di parole;114;4
743;1997;E;3;Marcos Llunas;Sin rencor;96;6
744;1997;D;3;Bianca Shomburg;Zeit;22;18
745;1997;PL;3;Anna Maria Jopek;Ale jesterm;54;11
746;1997;EST;3;Maarja-Liis Ilus;Keelatud maa;82;8
747;1997;BIH;3;Alma & Dejan;Goodbye;22;18
748;1997;POR;3;Célia Lawson;Antes do adeus;0;24
749;1997;S;3;Blond;Bara hon älskar mig;36;14
750;1997;GR;3;Marianna Zorba;Horepse;39;12
751;1997;MAL;3;Debbie Scerri;Let Me Fly;66;9
752;1997;H;3;V.I.P.;Miért kell, hogy elmenj?;39;12
753;1997;RUS;3;Alla Pugatschowa;Primadonna;33;15
754;1997;DK;3;Kølig Kaj;Stemmen i mit liv;25;16
755;1997;F;3;Fanny;Sentiments songes;95;7
756;1997;CRO;3;ENI;Probudi me;24;17
757;1997;UK;3;Katrina & The Waves;Love Shine A Light;227;1
758;1997;ISL;3;Paul Oscar;Minn hinsti dans;18;20
759;1998;CRO;3;Danijela;Neka mi ne svane;131;5
760;1998;GR;3;Thalassa;Mia krifi evesthisia;12;19
761;1998;F;3;Marie Line;Où aller;3;24
762;1998;E;3;Mikel Herzog;Qué voy a hacer sin ti?;21;16
763;1998;CH;3;Gunvor;Lass' ihn;0;25
